Illness 1,Illness 2,Illness 3,Illness 4,Illness 5,Need premium flag,combined_illnesses
Heart disease,High blood pressure,High cholesterol,Diabetes (Type 1),Diabetes (Type 2),Yes,Heart disease High blood pressure High cholesterol Diabetes (Type 1) Diabetes (Type 2)
Asthma,COPD,Arthritis,Osteoporosis,Depression,Yes,Asthma COPD Arthritis Osteoporosis Depression
Anxiety disorders,Alzheimer's disease,Parkinson's disease,Stroke,Cancer,Yes,Anxiety disorders Alzheimer's disease Parkinson's disease Stroke Cancer
Obesity,Hypothyroidism,Hyperthyroidism,Chronic kidney disease,Liver cirrhosis,Yes,Obesity Hypothyroidism Hyperthyroidism Chronic kidney disease Liver cirrhosis
GERD,IBS,Crohn's disease,Ulcerative colitis,Migraine,Yes,GERD IBS Crohn's disease Ulcerative colitis Migraine
Epilepsy,Multiple sclerosis,Fibromyalgia,Psoriasis,Eczema,Yes,Epilepsy Multiple sclerosis Fibromyalgia Psoriasis Eczema
Sleep apnea,High blood pressure,Arthritis,High cholesterol,Obesity,Yes,Sleep apnea High blood pressure Arthritis High cholesterol Obesity
Hypothyroidism,Hyperthyroidism,GERD,IBS,Migraine,No,Hypothyroidism Hyperthyroidism GERD IBS Migraine
Heart disease,Stroke,Cancer,Chronic kidney disease,Liver cirrhosis,Yes,Heart disease Stroke Cancer Chronic kidney disease Liver cirrhosis
Type 2 Diabetes,Asthma,Osteoporosis,Depression,Anxiety disorders,Yes,Type 2 Diabetes Asthma Osteoporosis Depression Anxiety disorders
Fibromyalgia,Psoriasis,Eczema,High cholesterol,Obesity,No,Fibromyalgia Psoriasis Eczema High cholesterol Obesity
COPD,Multiple sclerosis,Parkinson's disease,Type 1 Diabetes,Alzheimer's disease,Yes,COPD Multiple sclerosis Parkinson's disease Type 1 Diabetes Alzheimer's disease
Crohn's disease,Ulcerative colitis,Epilepsy,Sleep apnea,High blood pressure,Yes,Crohn's disease Ulcerative colitis Epilepsy Sleep apnea High blood pressure
Arthritis,Osteoporosis,Depression,Anxiety disorders,Type 2 Diabetes,Yes,Arthritis Osteoporosis Depression Anxiety disorders Type 2 Diabetes
GERD,IBS,Migraine,Fibromyalgia,Psoriasis,No,GERD IBS Migraine Fibromyalgia Psoriasis
Heart disease,High blood pressure,High cholesterol,Obesity,Hypothyroidism,Yes,Heart disease High blood pressure High cholesterol Obesity Hypothyroidism
Stroke,Cancer,Chronic kidney disease,Liver cirrhosis,COPD,Yes,Stroke Cancer Chronic kidney disease Liver cirrhosis COPD
Multiple sclerosis,Parkinson's disease,Type 1 Diabetes,Alzheimer's disease,Epilepsy,Yes,Multiple sclerosis Parkinson's disease Type 1 Diabetes Alzheimer's disease Epilepsy
Asthma,Arthritis,Osteoporosis,Depression,Anxiety disorders,Yes,Asthma Arthritis Osteoporosis Depression Anxiety disorders
Hyperthyroidism,GERD,IBS,Migraine,Eczema,No,Hyperthyroidism GERD IBS Migraine Eczema
Acute Leukemia,High blood pressure,Gastritis,Diabetes (Type 2),Rosacea,Yes,Acute Leukemia High blood pressure Gastritis Diabetes (Type 2) Rosacea
Rheumatoid Arthritis,Inflammatory Bowel Disease,Mild Allergies,Osteoporosis,Varicose Veins,Yes,Rheumatoid Arthritis Inflammatory Bowel Disease Mild Allergies Osteoporosis Varicose Veins
Anxiety disorders,Ruptured Brain Aneurysm,Parkinson's disease,Stroke,Benign Prostatic Hyperplasia,Yes,Anxiety disorders Ruptured Brain Aneurysm Parkinson's disease Stroke Benign Prostatic Hyperplasia
Obesity,Systemic Lupus Erythematosus,Moderate COPD,Chronic kidney disease,Gastritis,Yes,Obesity Systemic Lupus Erythematosus Moderate COPD Chronic kidney disease Gastritis
GERD,Schizophrenia,Crohn's disease,Ulcerative colitis,Migraine,Yes,GERD Schizophrenia Crohn's disease Ulcerative colitis Migraine
Epilepsy,Multiple sclerosis,Fibromyalgia,Psoriasis,Eczema,Yes,Epilepsy Multiple sclerosis Fibromyalgia Psoriasis Eczema
Sleep apnea,Severe Burns,Rheumatoid Arthritis,Rosacea,Varicose Veins,Yes,Sleep apnea Severe Burns Rheumatoid Arthritis Rosacea Varicose Veins
Hypothyroidism,Hyperthyroidism,GERD,Mild Allergies,Benign Prostatic Hyperplasia,No,Hypothyroidism Hyperthyroidism GERD Mild Allergies Benign Prostatic Hyperplasia
Heart disease,Severe Sepsis,Cancer,Advanced Motor Neuron Disease,Liver cirrhosis,Yes,Heart disease Severe Sepsis Cancer Advanced Motor Neuron Disease Liver cirrhosis
Type 2 Diabetes,Asthma,Inflammatory Bowel Disease,Depression,Anxiety disorders,Yes,Type 2 Diabetes Asthma Inflammatory Bowel Disease Depression Anxiety disorders
Fibromyalgia,Psoriasis,Eczema,Gastritis,Mild Allergies,No,Fibromyalgia Psoriasis Eczema Gastritis Mild Allergies
Acute Leukemia,Ruptured Brain Aneurysm,Severe Burns,Severe Sepsis,Advanced Motor Neuron Disease,Yes,Acute Leukemia Ruptured Brain Aneurysm Severe Burns Severe Sepsis Advanced Motor Neuron Disease
Rheumatoid Arthritis,Inflammatory Bowel Disease,Systemic Lupus Erythematosus,Moderate COPD,Schizophrenia,Yes,Rheumatoid Arthritis Inflammatory Bowel Disease Systemic Lupus Erythematosus Moderate COPD Schizophrenia
Arthritis,Osteoporosis,Depression,Anxiety disorders,Type 2 Diabetes,Yes,Arthritis Osteoporosis Depression Anxiety disorders Type 2 Diabetes
GERD,Rosacea,Migraine,Varicose Veins,Benign Prostatic Hyperplasia,No,GERD Rosacea Migraine Varicose Veins Benign Prostatic Hyperplasia
Heart disease,High blood pressure,High cholesterol,Obesity,Hypothyroidism,Yes,Heart disease High blood pressure High cholesterol Obesity Hypothyroidism
Stroke,Cancer,Chronic kidney disease,Liver cirrhosis,COPD,Yes,Stroke Cancer Chronic kidney disease Liver cirrhosis COPD
Multiple sclerosis,Parkinson's disease,Type 1 Diabetes,Alzheimer's disease,Epilepsy,Yes,Multiple sclerosis Parkinson's disease Type 1 Diabetes Alzheimer's disease Epilepsy
Asthma,Rheumatoid Arthritis,Osteoporosis,Inflammatory Bowel Disease,Moderate COPD,Yes,Asthma Rheumatoid Arthritis Osteoporosis Inflammatory Bowel Disease Moderate COPD
Hyperthyroidism,Gastritis,Mild Allergies,Rosacea,Varicose Veins,No,Hyperthyroidism Gastritis Mild Allergies Rosacea Varicose Veins
Acute Leukemia,Rheumatoid Arthritis,Gastritis,Type 2 Diabetes,Rosacea,Yes,Acute Leukemia Rheumatoid Arthritis Gastritis Type 2 Diabetes Rosacea
Inflammatory Bowel Disease,Systemic Lupus Erythematosus,Mild Allergies,Osteoporosis,Varicose Veins,Yes,Inflammatory Bowel Disease Systemic Lupus Erythematosus Mild Allergies Osteoporosis Varicose Veins
Anxiety disorders,Ruptured Brain Aneurysm,Parkinson's disease,Stroke,Benign Prostatic Hyperplasia,Yes,Anxiety disorders Ruptured Brain Aneurysm Parkinson's disease Stroke Benign Prostatic Hyperplasia
Psoriatic Arthritis,Graves' Disease,Moderate COPD,Chronic kidney disease,GERD,Yes,Psoriatic Arthritis Graves' Disease Moderate COPD Chronic kidney disease GERD
Schizophrenia,Addison's Disease,Crohn's disease,Ulcerative colitis,Mild Hypertension,Yes,Schizophrenia Addison's Disease Crohn's disease Ulcerative colitis Mild Hypertension
Epilepsy,Multiple sclerosis,Fibromyalgia,Scleroderma,Eczema,Yes,Epilepsy Multiple sclerosis Fibromyalgia Scleroderma Eczema
Sleep apnea,Severe Burns,Peripheral Artery Disease,Rosacea,Chronic Liver Disease,Yes,Sleep apnea Severe Burns Peripheral Artery Disease Rosacea Chronic Liver Disease
Hypothyroidism,Mild Depression,GERD,Mild Allergies,Benign Prostatic Hyperplasia,No,Hypothyroidism Mild Depression GERD Mild Allergies Benign Prostatic Hyperplasia
Heart disease,Severe Sepsis,Cancer,Advanced Motor Neuron Disease,Moderate Traumatic Brain Injury,Yes,Heart disease Severe Sepsis Cancer Advanced Motor Neuron Disease Moderate Traumatic Brain Injury
Type 2 Diabetes,Asthma,Inflammatory Bowel Disease,Depression,Anxiety disorders,Yes,Type 2 Diabetes Asthma Inflammatory Bowel Disease Depression Anxiety disorders
Fibromyalgia,Psoriatic Arthritis,Eczema,Gastritis,Mild Allergies,Yes,Fibromyalgia Psoriatic Arthritis Eczema Gastritis Mild Allergies
Acute Leukemia,Ruptured Brain Aneurysm,Severe Burns,Severe Sepsis,Advanced Motor Neuron Disease,Yes,Acute Leukemia Ruptured Brain Aneurysm Severe Burns Severe Sepsis Advanced Motor Neuron Disease
Chronic kidney disease,,,,,Yes,Chronic kidney disease    
Schizophrenia,Moderate COPD,Fibromyalgia,,,Yes,Schizophrenia Moderate COPD Fibromyalgia  
Hypothyroidism,Varicose Veins,,,,No,Hypothyroidism Varicose Veins   
Heart disease,Peripheral Artery Disease,Chronic Liver Disease,Eczema,Benign Prostatic Hyperplasia,Yes,Heart disease Peripheral Artery Disease Chronic Liver Disease Eczema Benign Prostatic Hyperplasia
Asthma,Depression,,,,Yes,Asthma Depression   
Severe Sepsis,,,,,Yes,Severe Sepsis    
Psoriatic Arthritis,Sleep apnea,Mild Hypertension,,,Yes,Psoriatic Arthritis Sleep apnea Mild Hypertension  
Graves' Disease,Addison's Disease,Scleroderma,,,Yes,Graves' Disease Addison's Disease Scleroderma  
Cancer,,,,,Yes,Cancer    
Epilepsy,Gastritis,,,,No,Epilepsy Gastritis   
Moderate Traumatic Brain Injury,Systemic Lupus Erythematosus,,,,Yes,Moderate Traumatic Brain Injury Systemic Lupus Erythematosus   
Alzheimer's disease,Parkinson's disease,Type 1 Diabetes,Multiple sclerosis,Ruptured Brain Aneurysm,Yes,Alzheimer's disease Parkinson's disease Type 1 Diabetes Multiple sclerosis Ruptured Brain Aneurysm
Mild Depression,,,,,No,Mild Depression    
Advanced Motor Neuron Disease,Severe Burns,,,,Yes,Advanced Motor Neuron Disease Severe Burns   
Osteoporosis,Anxiety disorders,Type 2 Diabetes,,,Yes,Osteoporosis Anxiety disorders Type 2 Diabetes  
Crohn's disease,Ulcerative colitis,,,,Yes,Crohn's disease Ulcerative colitis   
Severe Sepsis,,,,,Yes,Severe Sepsis    
Type 2 Diabetes,Asthma,,,,Yes,Type 2 Diabetes Asthma   
Rosacea,Mild Allergies,Varicose Veins,,,No,Rosacea Mild Allergies Varicose Veins  
Chronic kidney disease,Rheumatoid Arthritis,Inflammatory Bowel Disease,Psoriatic Arthritis,,Yes,Chronic kidney disease Rheumatoid Arthritis Inflammatory Bowel Disease Psoriatic Arthritis 
Ruptured Brain Aneurysm,,,,,Yes,Ruptured Brain Aneurysm    
Moderate COPD,Sleep apnea,,,,Yes,Moderate COPD Sleep apnea   
GERD,Benign Prostatic Hyperplasia,Hypothyroidism,,,No,GERD Benign Prostatic Hyperplasia Hypothyroidism  
Cancer,Peripheral Artery Disease,Osteoporosis,Anxiety disorders,Eczema,Yes,Cancer Peripheral Artery Disease Osteoporosis Anxiety disorders Eczema
Schizophrenia,Graves' Disease,,,,Yes,Schizophrenia Graves' Disease   
Advanced Motor Neuron Disease,,,,,Yes,Advanced Motor Neuron Disease    
Fibromyalgia,Systemic Lupus Erythematosus,Mild Hypertension,,,Yes,Fibromyalgia Systemic Lupus Erythematosus Mild Hypertension  
